K-3013;17176;+Smagratis FEBI;02403;10;A0109815625;1;A0259975047;1;;;;;;;;;;;;
K-3014;A0008302483;+Kondicionieriaus filtras;A0139974145;1;A0139974045;1;A0219970545;1;;;;;;;;;;;;
K-3015;0 124 655 097;+Generatorius 100A BOSCH;A0011554615;1;A0059904151;1;A0009905348;1;;;;;;;;;;;;
K-3016;0124555065;+Generatorius 80A BOSCH;A0011554615;1;A0059904151;1;A0009905348;1;;;;;;;;;;;;
K-3017;PLY-1710;+Filtras oro kondicionieriaus COLTEC;A0139974145;1;A0139974045;1;A0219970545;1;;;;;;;;;;;;
K-3018;PLY-1715A;+Filtras oro kondicionieriaus su vieta davikliui COLTEC;A0139974145;1;A0139974045;1;A0219970545;1;;;;;;;;;;;;
K-3019;A0095423218;+Kuro matuoklë bake;A0119970745;1;A0129970545;2;A0129970345;1;;;;;;;;;;;;
K-3020;32818;+Oro pagalvë FEBI;N000000005915;1;16092;1;A0055425818;1;;;;;;;;;;;;
K-3021;A5410300105REST;+*Smagratis RESTAURUOTAS;A4030320309;1;A0139971447;1;02403;10;;;;;;;;;;;;
K-3022;A9305462240;+Elektros laidø paskirstymo dëþutë;A9305460486;1;A0005453739;1;N000000000414;1;;;;;;;;;;;;
K-3023;A9405280085;+Guminë atrama;N000000006723;1;N000000006721;1;N000000003175;1;;;;;;;;;;;;
K-3024;A9604901020;+Iðmetimo vamzdis;A9429950033;2;N000000003175;2;N910143008006;2;;;;;;;;;;;;
K-4001;07-01-01-0448;+Guolis gal. rato Vario Atego FAG ;A3059970345;1;A9703560415;1;N000000000957;1;N000472130000;1;;;;;;;;;;
K-4002;11-02-00-2093;+Duslintuvo vamzdis VANSTAR;A0019952102;1;A9429970290;1;N000000003175;1;N910143008005;1;;;;;;;;;;
K-4003;11-02-00-2275;+Duslintuvo vamzdis VANSTAR;A0019952102;1;A9429970290;1;N000000003175;1;N910143008005;1;;;;;;;;;;
K-4004;803194.26;+Guolis gal. rato Vario Atego FAG ;A3059970345;1;A9703560415;1;N000000000957;1;N000472130000;1;;;;;;;;;;
K-4005;A9405200631;+Aikðtelë uþ kabinos ant rëmo aliuminë;A9405280085;2;N000000006723;2;N000000006721;2;N000000003175;2;;;;;;;;;;
K-5001;32720;+Duslintuvo vamzdis HOBI;A0019952102;1;A9429970290;1;N000000003175;1;N910143008005;1;A0179972945;1;;;;;;;;
K-5002;JO037AX;+Duslintuvo vamzdis XXL Marmite;A0019952102;1;A9429970290;1;N000000003175;1;N910143008005;1;A0179972945;1;;;;;;;;
K-5003;02-01-10-0214;+Variklio bloko galinis dangtis MEGA;A4030320309;1;A0139971447;1;A5410151780;1;A5410151680;1;A5410151380;1;;;;;;;;
K-5004;06-02-03-0358;+Cilindras WABCO;A0179976545;1;A0139977548;1;A0159974048;1;A0249978347;1;A0005435785;1;;;;;;;;
K-5005;4213520820;+Cilindras WABCO;A0179976545;1;A0139977548;1;A0159974048;1;A0249978347;1;A0005435785;1;;;;;;;;
K-5006;ARC-EXP.302287;+Variklio bloko galinis dangtis MEGA;A4030320309;1;A0139971447;1;A5410151780;1;A5410151680;1;A5410151380;1;;;;;;;;
